sample_id,collector_id,miluska_id,date,year,river,location,r_mile,lat,long,live_dead,sex,stage,total,fork,weight_lbs,weight_g,cohort,first_age,second_age,final_age,scale_age,rps,rpsm,age_afs,skip_spawn,ovary_weight,egg_stage,age_id,comments,,,,,
1,1,3501,6/8/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,female,ripe,,444,2.1,952.5432,2014,6,,6,7,yes,1,6,N,,,,First Fish! Gill net,,,,,
2,2,3502,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,male,ripe,,429,1.25,566.99,2015,5,,5,4,no,0,4,N,,,,First E-fish!,,,,,
3,3,3503,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,male,ripe,,364,1,453.592,2015,5,,5,4,no,0,4,N,,,,,,,,,
4,4,3504,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,female,spent,,464,1.8,816.4656,2013,7,,7,7,yes,2,5,N,,,,,,,,,
5,5,3505,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,female,spent,,397,1.1,498.9512,2016,4,,4,5,no,0,5,N,,,,,,,,,
6,6,3506,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,male,ripe,,382,1.1,498.9512,2015,5,,5,5,no,0,5,N,,,,forgot underline on mouth tag,,,,,
7,7,3507,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,male,ripe,,352,1,453.592,2016,4,,4,4,no,0,4,N,,,,,,,,,
8,8,3508,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,female,spent,,421,1.6,725.7472,2012,8,,8,6,no,0,6,N,,,,,,,,,
9,9,3509,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,male,ripe,,375,1.4,635.0288,2014,6,,6,4,no,0,4,N,,,,,,,,,
10,10,3510,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,male,ripe,,409,1.65,748.4268,2014,6,,6,5,no,0,5,N,,,,Question Otolith for Wes,,,,,
11,11,3511,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,male,ripe,,396,1.5,680.388,2015,5,,5,6,yes,2,4,N,,,,,,,,,
12,12,3512,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,female,spent,,446,1.5,680.388,2015,5,,5,6,no,0,6,N,,,,,,,,,
13,13,3513,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,male,ripe,,430,1.9,861.8248,2014,6,,6,5,no,0,5,N,,,,,,,,,
14,14,3514,6/11/20,2020,Delaware River,Cochecton,298,41.704115,-75.066765,live,female,spent,,500,2.5,1133.98,2011,9,,9,,no,,,,,,,,,,,,
15,15,3515,6/15/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,unknown,,464,1.6,725.7472,2011,9,,9,7,yes,1,6,N,,,,lesions on body,,,,,
16,16,3516,6/15/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,gravid,,452,2,907.184,2012,8,,8,7,yes,2,5,N,,,,short operculum,,,,,
17,17,3517,6/15/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,ripe,,473,2.5,1133.98,2012,8,,8,6,yes,1,5,N,,,,,,,,,
18,18,3518,6/15/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,gravid,,466,2.1,952.5432,2013,7,,7,6,yes,2,4,N,,,,,,,,,
19,19,3519,6/15/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,gravid,,475,1.7,771.1064,2013,7,,7,7,yes,3,4,N,,,,,,,,,
20,20,3520,6/15/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,gravid,,409,1.7,771.1064,2016,4,,4,5,no,0,5,N,,,,,,,,,
21,21,3521,6/15/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,male,ripe,,392,1.2,544.3104,2016,4,,4,4,no,0,4,N,,,,,,,,,
22,22,3522,6/15/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,ripe,,392,0.9,408.2328,2016,4,,4,4,no,0,4,N,,,,skinny,,,,,
23,23,3523,6/15/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,475,1.85,839.1452,2014,6,,6,,no,,,,,,,,,,,,
24,24,3524,6/15/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,394,1.4,635.0288,2015,5,,5,4,no,0,4,N,,,,,,,,,
25,25,3525,6/16/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,490,1.6,725.7472,2012,8,,8,8,yes,3,5,N,,,,1 otolith broke ,,,,,
26,26,3526,6/16/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,gravid,,436,2.6,1179.3392,2014,6,,6,5,no,0,5,N,,,,,,,,,
27,27,3527,6/16/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,male,ripe,,348,0.75,340.194,2015,5,,5,4,yes,1,3,N,,,,,,,,,
28,28,3528,6/16/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,male,ripe,,393,1,453.592,2015,5,,5,5,yes,1,4,N,,,,,,,,,
29,29,3529,6/16/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,ripe,,468,1.5,680.388,2012,8,,8,5,no,0,5,N,,,,,,,,,
30,30,3530,6/16/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,ripe,,452,1.5,680.388,2015,5,,5,,no,,,,,,,lesions on body,,,,,
31,31,3531,6/16/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,live,female,ripe,,436,1.4,635.0288,2014,6,,6,6,no,0,6,N,,,,,,,,,
32,32,3532,6/16/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,live,female,ripe,,488,2,907.184,2014,6,,6,7,yes,2,5,N ,,,,,,,,,
33,33,3533,6/16/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,live,female,gravid,,460,2.5,1133.98,2014,6,,6,5,no,0,5,N,,,,,,,,,
34,34,3534,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,live,female,ripe,,458,1.4,635.0288,2020,,,,,no,,,,,,,,,,,,
35,35,3535,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,live,female,ripe,,482,1.7,771.1064,2020,,,,,yes,2,,N,,,,,,,,,
36,36,3536,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,live,female,ripe,,452,1.5,680.388,2020,,,,6,yes,1,5,N,,,,,,,,,
37,37,3537,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,dead,female,unknown,,462,1.5,680.388,2020,,,,6,yes,1,5,N,,,,,,,,,
38,38,3538,6/17/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,dead,male,unknown,,428,1,453.592,2020,,,,,no,,,,,,,no scale sample taken,,,,,
